num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2026S017240;07/02/2026;11:50:00;CALL. LUIS MITJANS / CALL. VALDERRIBAS;44;3;RETIRO;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443143;4472595;N;
2026S017241;06/02/2026;12:00:00;CALL. NUESTRA SEÑORA DE VALVERDE, 94;94;8;FUENCARRAL-EL PARDO;Atropello a persona;Lluvia débil;Bicicleta;Conductor;Desconocido;Desconocido;;;441741;4483085;N;
2026S017241;06/02/2026;12:00:00;CALL. NUESTRA SEÑORA DE VALVERDE, 94;94;8;FUENCARRAL-EL PARDO;Atropello a persona;Lluvia débil;Bicicleta;Peatón;Más de 74 años;Mujer;1;Atención en urgencias sin posterior ingreso;441741;4483085;N;
2026S017244;07/02/2026;11:20:00;CALL. EMBAJADORES, 147;147;2;ARGANZUELA;Colisión lateral;;Bicicleta;Conductor;De 35 a 39 años;Hombre;;;440919;4471992;N;
2026S017245;07/02/2026;10:48:00;AVDA. CIUDAD DE BARCELONA / CALL. JULIAN GAYARRE;108;3;RETIRO;Alcance;Lluvia débil;Bicicleta;Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441988;4472963;N;
2026S017287;07/02/2026;13:50:00;CALL. COMERCIO, 3;3;3;RETIRO;Alcance;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 18 a 20 años;Hombre;14;Sin asistencia sanitaria;442212;4472846;N;
2026S017725;08/02/2026;19:15:00;GTA. CUATRO CAMINOS / CALL. BRAVO MURILLO;6;6;TETUÁN;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;440314;4477648;N;
2026S017930;09/02/2026;7:45:00;CALL. ALCALA, 22;22;1;CENTRO;Caída;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440700;4474387;S;
2026S018263;09/02/2026;21:50:00;GTA. MARQUES DE VADILLO / CALL. GENERAL RICARDOS;1;11;CARABANCHEL;Caída;Lluvia débil;Bicicleta;Conductor;De 30 a 34 años;Mujer;2;Ingreso inferior o igual a 24 horas;439214;4472142;N;
2026S018275;09/02/2026;20:48:00;CALL. HERMANOS DE PABLO / CALL. PRUDENCIO ALVARO;40;15;CIUDAD LINEAL;Colisión fronto-lateral;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;445204;4476516;N;
2026S018675;10/02/2026;16:15:00;CALL. GREGORIO SANCHEZ HERRAEZ / CALL. RAFAELA APARICIO;21;16;HORTALEZA;Caída;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;De 45 a 49 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;446265;4481147;N;
2026S018679;10/02/2026;16:58:00;PASEO. SANTA MARIA DE LA CABEZA / RONDA. ATOCHA;1;2;ARGANZUELA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;De 45 a 49 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441117;4473194;N;
2026S018692;10/02/2026;16:45:00;CALL. DOCTOR ESQUERDO / CALL. SANTA SABINA;177;3;RETIRO;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443076;4472971;N;
2026S018847;10/02/2026;23:50:00;CALL. EMBAJADORES / .;14;1;CENTRO;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;440062;4473507;N;
2026S019060;11/02/2026;10:20:00;AVDA. COMPLUTENSE, 6;6;9;MONCLOA-ARAVACA;Caída;Lluvia débil;Bicicleta;Conductor;De 21 a 24 años;Mujer;2;Ingreso inferior o igual a 24 horas;438363;4477234;N;
2026S019130;11/02/2026;15:45:00;CALL. ALCALA / AUTOV. M-30;249;15;CIUDAD LINEAL;Caída;Lluvia débil;Bicicleta;Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;443971;4475887;N;
2026S019828;12/02/2026;22:25:00;PASEO. INFANTA ISABEL / CALL. DOCTOR VELASCO;1;3;RETIRO;Colisión fronto-lateral;LLuvia intensa;Bicicleta;Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;441446;4473281;N;
2026S019947;13/02/2026;8:30:00;PLAZA. INDEPENDENCIA / CALL. SERRANO;5;4;SALAMANCA;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 65 a 69 años;Mujer;6;Asistencia sanitaria inmediata en centro de salud o mutua;441567;4474650;N;
2026S020058;13/02/2026;14:00:00;PASEO. CASTELLANA, 78;78;5;CHAMARTÍN;Choque contra obstáculo fijo;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Mujer;14;Sin asistencia sanitaria;441385;4476801;N;
2026S020075;13/02/2026;14:20:00;CALL. CAMINO DE LOS VINATEROS / IDB. AVENIDA DE MORATALAZ_M-30;108;14;MORATALAZ;Caída;Lluvia débil;Bicicleta;Conductor;De 18 a 20 años;Hombre;1;Atención en urgencias sin posterior ingreso;445221;4473261;N;
2026S020238;13/02/2026;19:40:00;CALL. ANTONIO DE LEYVA, 7;7;11;CARABANCHEL;Colisión lateral;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439299;4472018;N;
2026S020240;13/02/2026;19:30:00;PASEO. PRADO, 1;1;3;RETIRO;Caída;Lluvia débil;Bicicleta;Conductor;De 40 a 44 años;Mujer;6;Asistencia sanitaria inmediata en centro de salud o mutua;441279;4473475;N;
2026S020267;13/02/2026;21:50:00;CALL. DOCTOR ESQUERDO, 120;120;3;RETIRO;Caída;Nublado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443131;4473240;N;
2026S020302;14/02/2026;0:10:00;PASEO. CASTELLANA, 109;109;6;TETUÁN;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 10 a 14 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441424;4478547;N;
2026S020577;14/02/2026;18:05:00;AVDA. CIUDAD DE BARCELONA, 83;83;3;RETIRO;Alcance;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;442813;4472457;N;
2026S020722;15/02/2026;2:55:00;CALL. CRUZ / CALL. ESPOZ Y MINA;25;1;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;2;Ingreso inferior o igual a 24 horas;440413;4474074;N;
2026S020863;15/02/2026;12:40:00;CALL. JOSE ORTEGA Y GASSET, 70;70;4;SALAMANCA;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;442792;4475684;N;
2026S020866;15/02/2026;13:41:00;CTRA. ESTACION DE HORTALEZA / AVDA. NICETO ALCALA ZAMORA;1;16;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;444944;4481403;N;
2026S020987;15/02/2026;23:15:00;CALL. EMBAJADORES, 158;158;2;ARGANZUELA;Otro;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440894;4472012;N;
2026S021078;16/02/2026;12:30:00;CALL. GENOVA / PLAZA. COLON;3;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441392;4475217;N;
2026S022060;17/02/2026;18:45:00;CALL. BAHIA DE MALAGA, 20;20;21;BARAJAS;Colisión lateral;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;449666;4479856;N;
2026S022481;18/02/2026;17:00:00;CALL. SELMA LAGERLOFF, 12;12;17;VILLAVERDE;Alcance;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;;;441547;4467256;N;
2026S022538;18/02/2026;15:30:00;CALL. COSTA RICA, 7;7;5;CHAMARTÍN;Alcance;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442706;4478884;N;
2026S022607;18/02/2026;20:25:00;CALL. DOCTOR ESQUERDO, 130;130;3;RETIRO;Caída;Lluvia débil;Bicicleta;Conductor;De 18 a 20 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443145;4473179;N;
2026S022883;19/02/2026;7:40:00;CALL. ANTONIO LOPEZ, 199;199;12;USERA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 30 a 34 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;440931;4470538;N;
2026S023090;19/02/2026;14:10:00;CALL. COLOMBIA, 9;9;5;CHAMARTÍN;Alcance;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;442664;4478714;N;
2026S023381;19/02/2026;21:02:00;CALL. CAMINO VIEJO DE VILLAVERDE / AVDA. POBLADOS;1;12;USERA;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;439673;4469369;N;
2026S023414;19/02/2026;22:20:00;CALL. AZCONA / CALL. AMOROS;29;4;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443286;4476215;N;
2026S023414;19/02/2026;22:20:00;CALL. AZCONA / CALL. AMOROS;29;4;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443286;4476215;N;
2026S023454;19/02/2026;22:15:00;PASEO. YESERIAS, 15A;15A;2;ARGANZUELA;Choque contra obstáculo fijo;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;439712;4472329;S;
2026S023640;20/02/2026;7:20:00;CALL. PAMPLONA / NAVARRA;23;6;TETUÁN;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 18 a 20 años;Mujer;3;Ingreso superior a 24 horas;440251;4478351;N;
2026S023879;20/02/2026;18:05:00;CTRA. ALCOBENDAS A BARAJAS, 14;14;21;BARAJAS;Caída;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;2;Ingreso inferior o igual a 24 horas;449254;4481885;N;
2026S023903;20/02/2026;16:30:00;CALL. DIEGO DE LEON / CALL. PRINCIPE DE VERGARA;43;4;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442402;4476235;N;
2026S024579;21/02/2026;9:00:00;AVDA. POBLADOS / CALL. EXPROPIACION;170;12;USERA;Colisión fronto-lateral;;Bicicleta;Conductor;De 15 a 17 años;Hombre;;;440198;4469188;N;
2026S024699;21/02/2026;12:45:00;PASEO. CASTAÑOS / GTA. SIETE HERMANAS;0;9;MONCLOA-ARAVACA;Colisión lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;436693;4474216;N;
2026S024699;21/02/2026;12:45:00;PASEO. CASTAÑOS / GTA. SIETE HERMANAS;0;9;MONCLOA-ARAVACA;Colisión lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;436693;4474216;N;
2026S024837;21/02/2026;21:30:00;CALL. ANDRES MELLADO, 28;28;7;CHAMBERÍ;Colisión frontal;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;2;Ingreso inferior o igual a 24 horas;439401;4476068;N;
2026S025135;22/02/2026;10:10:00;PASEO. CASTELLANA, 278;278;5;CHAMARTÍN;Colisión lateral;Despejado;Bicicleta;Conductor;Más de 74 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441815;4480763;N;
2026S025171;22/02/2026;12:52:00;AUTOV. M-607, +01800S;+01800S;8;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;De 30 a 34 años;Mujer;1;Atención en urgencias sin posterior ingreso;439568;4490352;N;
2026S025213;22/02/2026;20:31:00;CALL. ANTONIO DE LEYVA, 7;7;11;CARABANCHEL;Otro;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 18 a 20 años;Hombre;;;439306;4472003;N;
2026S025250;22/02/2026;23:45:00;CALL. ALCALA / CALL. O'DONNELL;103;4;SALAMANCA;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;442070;4474759;N;
2026S025320;23/02/2026;5:55:00;AVDA. CARDENAL HERRERA ORIA, 82;82;8;FUENCARRAL-EL PARDO;Alcance;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;1;Atención en urgencias sin posterior ingreso;440661;4482320;N;
2026S025483;23/02/2026;13:20:00;CALL. MARQUES DE VIANA, 26;26;6;TETUÁN;Colisión lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 18 a 20 años;Hombre;;;440526;4479303;N;
2026S025793;23/02/2026;16:05:00;GTA. SANTUARIO DE TISCAR, 0;0;8;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 70 a 74 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439571;4483892;N;
2026S026139;24/02/2026;14:54:00;CALL. RIOS ROSAS / CALL. BRAVO MURILLO;1;7;CHAMBERÍ;Colisión fronto-lateral;;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Hombre;;;440280;4477071;N;
2026S026279;24/02/2026;18:15:00;CALL. HERMANOS GARCIA NOBLEJAS, 30;30;15;CIUDAD LINEAL;Caída;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;1;Atención en urgencias sin posterior ingreso;446088;4476155;N;
2026S026372;24/02/2026;19:40:00;CALL. CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN, 18;18;10;LATINA;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 60 a 64 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;437438;4472577;N;
2026S026638;25/02/2026;6:40:00;CALL. ANTONIO DE LEYVA, 82;82;11;CARABANCHEL;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439195;4471152;N;
2026S026847;25/02/2026;9:54:00;CALL. MARTINEZ IZQUIERDO, 27;27;4;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;;;443242;4476110;N;
2026S026887;25/02/2026;16:37:00;AVDA. MONASTERIO DE SILOS, 35B;35B;8;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 40 a 44 años;Mujer;1;Atención en urgencias sin posterior ingreso;440397;4483878;N;
2026S026938;25/02/2026;19:00:00;CALL. PICO DE LOS ARTILLEROS, 128;128;14;MORATALAZ;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 10 a 14 años;Hombre;;;445516;4472864;N;
2026S026999;25/02/2026;21:00:00;CALL. PERSEO, 10;10;3;RETIRO;Caída;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;443346;4473173;N;
2026S027169;26/02/2026;7:10:00;PLAZA. CUZCO / PASEO. CASTELLANA;0;5;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 40 a 44 años;Mujer;3;Ingreso superior a 24 horas;441485;4478877;N;
2026S027399;26/02/2026;15:10:00;CALL. BRAVO MURILLO / CALL. POETA JOAN MARAGALL;380;6;TETUÁN;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Hombre;3;Ingreso superior a 24 horas;441347;4479645;N;
2026S027602;25/02/2026;15:55:00;AVDA. ALBERTO ALCOCER, 8;8;5;CHAMARTÍN;Otro;;Bicicleta EPAC (pedaleo asistido);Conductor;De 40 a 44 años;Hombre;;;441832;4478924;N;
2026S027721;26/02/2026;22:10:00;AVDA. CIUDAD DE BARCELONA, 4;4;3;RETIRO;Caída;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441768;4473030;N;
2026S027872;27/02/2026;3:39:00;CALL. SAGASTA, 2;2;1;CENTRO;Caída;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;2;Ingreso inferior o igual a 24 horas;440487;4475588;S;
2026S028257;27/02/2026;18:15:00;PLAZA. TORCUATO FERNANDEZ MIRANDA / AVDA. MONASTERIO DE SILOS;0;8;FUENCARRAL-EL PARDO;Colisión frontal;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;439142;4483263;N;
2026S028257;27/02/2026;18:15:00;PLAZA. TORCUATO FERNANDEZ MIRANDA / AVDA. MONASTERIO DE SILOS;0;8;FUENCARRAL-EL PARDO;Colisión frontal;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439142;4483263;N;
2026S028691;28/02/2026;12:20:00;AVDA. LOS ROSALES, 400;400;17;VILLAVERDE;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 65 a 69 años;Hombre;2;Ingreso inferior o igual a 24 horas;443531;4465115;N;
2026S028699;28/02/2026;13:45:00;CALL. VALLE DE MENA / CALL. BUITRAGO DEL LOZOYA;2;8;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;1;Atención en urgencias sin posterior ingreso;439106;4480257;N;
